,Ma_Tinh,Ten_Huyen,So_Diem_Chay,Nam
98,2,Vị Xuyên,19,2012
99,2,Bắc Mê,25,2012
100,2,Bắc Quang,12,2012
101,2,Yên Minh,3,2012
102,2,Quang Bình,3,2012
103,2,Mèo Vạc,4,2012
104,2,Hoàng Su Phì,3,2012
105,2,Xín Mần,3,2012
106,2,Vị Xuyên,7,2013
107,2,Bắc Mê,13,2013
108,2,Bắc Quang,17,2013
109,2,Yên Minh,5,2013
110,2,Quang Bình,2,2013
111,2,Hoàng Su Phì,1,2013
112,2,Xín Mần,1,2013
113,2,Vị Xuyên,6,2014
114,2,Bắc Mê,7,2014
115,2,Bắc Quang,24,2014
116,2,Yên Minh,5,2014
117,2,Quang Bình,5,2014
118,2,Hoàng Su Phì,3,2014
119,2,Vị Xuyên,19,2015
120,2,Bắc Mê,31,2015
121,2,Bắc Quang,35,2015
122,2,Yên Minh,8,2015
123,2,Quang Bình,14,2015
124,2,Mèo Vạc,5,2015
125,2,Hoàng Su Phì,4,2015
126,2,Xín Mần,3,2015
127,2,Vị Xuyên,10,2016
128,2,Bắc Mê,7,2016
129,2,Bắc Quang,12,2016
130,2,Yên Minh,3,2016
131,2,Quang Bình,5,2016
132,2,Xín Mần,6,2016
133,2,Vị Xuyên,111,2017
134,2,Bắc Mê,66,2017
135,2,Bắc Quang,120,2017
136,2,Yên Minh,32,2017
137,2,Quang Bình,52,2017
138,2,Mèo Vạc,23,2017
139,2,Quản Bạ,10,2017
140,2,Đồng Văn,7,2017
141,2,Hà Giang,3,2017
142,2,Hoàng Su Phì,15,2017
143,2,Xín Mần,6,2017
144,2,Vị Xuyên,221,2018
145,2,Bắc Mê,392,2018
146,2,Bắc Quang,450,2018
147,2,Yên Minh,177,2018
148,2,Quang Bình,151,2018
149,2,Mèo Vạc,69,2018
150,2,Quản Bạ,23,2018
151,2,Đồng Văn,23,2018
152,2,Hà Giang,11,2018
153,2,Hoàng Su Phì,101,2018
154,2,Xín Mần,122,2018
155,2,Vị Xuyên,263,2019
156,2,Bắc Mê,262,2019
157,2,Bắc Quang,545,2019
158,2,Yên Minh,126,2019
159,2,Quang Bình,184,2019
160,2,Mèo Vạc,32,2019
161,2,Quản Bạ,36,2019
162,2,Đồng Văn,16,2019
163,2,Hà Giang,44,2019
164,2,Hoàng Su Phì,77,2019
165,2,Xín Mần,65,2019
166,2,Vị Xuyên,47,2020
167,2,Bắc Mê,76,2020
168,2,Bắc Quang,73,2020
169,2,Yên Minh,10,2020
170,2,Quang Bình,25,2020
171,2,Mèo Vạc,7,2020
172,2,Quản Bạ,10,2020
173,2,Đồng Văn,15,2020
174,2,Hà Giang,7,2020
175,2,Hoàng Su Phì,14,2020
176,2,Xín Mần,36,2020
177,4,Nguyên Bình,4,2011
178,4,Hòa An,4,2011
179,4,Bảo Lâm,10,2011
180,4,Trà Lĩnh,1,2011
181,4,Thạch An,5,2011
182,4,Bảo Lạc,10,2011
183,4,Trùng Khánh,1,2011
184,4,Nguyên Bình,10,2012
185,4,Hòa An,1,2012
186,4,Bảo Lâm,47,2012
187,4,Hà Quảng,1,2012
188,4,Hạ Lang,2,2012
189,4,Thạch An,6,2012
190,4,Bảo Lạc,13,2012
191,4,Phục Hòa,1,2012
192,4,Nguyên Bình,4,2013
193,4,Hòa An,8,2013
194,4,Bảo Lâm,33,2013
195,4,Hạ Lang,2,2013
196,4,Thạch An,10,2013
197,4,Bảo Lạc,15,2013
198,4,Thông Nông,1,2013
199,4,Nguyên Bình,7,2014
200,4,Hòa An,2,2014
201,4,Bảo Lâm,24,2014
202,4,Hà Quảng,1,2014
203,4,Hạ Lang,1,2014
204,4,Thạch An,16,2014
205,4,Bảo Lạc,12,2014
206,4,Thông Nông,3,2014
207,4,Cao Bằng,2,2015
208,4,Nguyên Bình,11,2015
209,4,Hòa An,8,2015
210,4,Bảo Lâm,33,2015
211,4,Hạ Lang,1,2015
212,4,Thạch An,37,2015
213,4,Bảo Lạc,19,2015
214,4,Thông Nông,4,2015
215,4,Nguyên Bình,36,2016
216,4,Hòa An,17,2016
217,4,Bảo Lâm,102,2016
218,4,Hà Quảng,5,2016
219,4,Hạ Lang,4,2016
220,4,Quảng Uyên,1,2016
221,4,Thạch An,25,2016
222,4,Bảo Lạc,70,2016
223,4,Thông Nông,11,2016
224,4,Trùng Khánh,1,2016
225,4,Phục Hòa,1,2016
226,4,Cao Bằng,5,2017
227,4,Nguyên Bình,31,2017
228,4,Hòa An,19,2017
229,4,Bảo Lâm,99,2017
230,4,Hà Quảng,6,2017
231,4,Hạ Lang,20,2017
232,4,Trà Lĩnh,7,2017
233,4,Quảng Uyên,4,2017
234,4,Thạch An,20,2017
235,4,Bảo Lạc,67,2017
236,4,Thông Nông,10,2017
237,4,Trùng Khánh,5,2017
238,4,Phục Hòa,10,2017
239,4,Cao Bằng,6,2018
240,4,Nguyên Bình,220,2018
241,4,Hòa An,70,2018
242,4,Bảo Lâm,671,2018
243,4,Hà Quảng,12,2018
244,4,Hạ Lang,14,2018
245,4,Trà Lĩnh,6,2018
246,4,Quảng Uyên,6,2018
247,4,Thạch An,325,2018
248,4,Bảo Lạc,493,2018
249,4,Thông Nông,36,2018
250,4,Trùng Khánh,39,2018
251,4,Phục Hòa,21,2018
252,4,Cao Bằng,14,2019
253,4,Nguyên Bình,105,2019
254,4,Hòa An,114,2019
255,4,Bảo Lâm,246,2019
256,4,Hà Quảng,3,2019
257,4,Hạ Lang,19,2019
258,4,Trà Lĩnh,2,2019
259,4,Quảng Uyên,7,2019
260,4,Thạch An,408,2019
261,4,Bảo Lạc,190,2019
262,4,Thông Nông,30,2019
263,4,Trùng Khánh,6,2019
264,4,Phục Hòa,14,2019
265,4,Nguyên Bình,12,2020
266,4,Hòa An,5,2020
267,4,Bảo Lâm,211,2020
268,4,Hà Quảng,1,2020
269,4,Hạ Lang,2,2020
270,4,Quảng Uyên,1,2020
271,4,Thạch An,32,2020
272,4,Bảo Lạc,10,2020
273,4,Thông Nông,2,2020
274,6,Ngân Sơn,2,2011
275,6,Chợ Mới,15,2011
276,6,Pác Nặm,9,2011
277,6,Ba Bể,2,2011
278,6,Chợ Đồn,19,2011
279,6,Na Rì,15,2011
280,6,Bạch Thông,5,2011
281,6,TX. Bắc Kạn,4,2011
282,6,Ngân Sơn,4,2012
283,6,Chợ Mới,33,2012
284,6,Pác Nặm,9,2012
285,6,Ba Bể,16,2012
286,6,Chợ Đồn,32,2012
287,6,Na Rì,17,2012
288,6,Bạch Thông,28,2012
289,6,TX. Bắc Kạn,9,2012
290,6,Ngân Sơn,3,2013
291,6,Chợ Mới,23,2013
292,6,Pác Nặm,5,2013
293,6,Ba Bể,16,2013
294,6,Chợ Đồn,16,2013
295,6,Na Rì,12,2013
296,6,Bạch Thông,21,2013
297,6,TX. Bắc Kạn,5,2013
298,6,Ngân Sơn,14,2014
299,6,Chợ Mới,10,2014
300,6,Ba Bể,4,2014
301,6,Chợ Đồn,10,2014
302,6,Na Rì,18,2014
303,6,Bạch Thông,3,2014
304,6,Ngân Sơn,10,2015
305,6,Chợ Mới,34,2015
306,6,Pác Nặm,5,2015
307,6,Ba Bể,6,2015
308,6,Chợ Đồn,43,2015
309,6,Na Rì,16,2015
310,6,Bạch Thông,19,2015
311,6,TX. Bắc Kạn,1,2015
312,6,Ngân Sơn,24,2016
313,6,Chợ Mới,101,2016
314,6,Pác Nặm,4,2016
315,6,Ba Bể,10,2016
316,6,Chợ Đồn,59,2016
317,6,Na Rì,44,2016
318,6,Bạch Thông,23,2016
319,6,TX. Bắc Kạn,5,2016
320,6,Ngân Sơn,39,2017
321,6,Chợ Mới,121,2017
322,6,Pác Nặm,10,2017
323,6,Na Rì,55,2017
324,6,Ba Bể,22,2017
325,6,Chợ Đồn,66,2017
326,6,Bạch Thông,22,2017
327,6,TX. Bắc Kạn,8,2017
328,6,Ngân Sơn,252,2018
329,6,Chợ Mới,366,2018
330,6,Ba Bể,76,2018
331,6,Na Rì,141,2018
332,6,Chợ Đồn,118,2018
333,6,Pác Nặm,75,2018
334,6,Bạch Thông,60,2018
335,6,TX. Bắc Kạn,29,2018
336,6,Chợ Mới,132,2019
337,6,Ngân Sơn,70,2019
338,6,Chợ Đồn,300,2019
339,6,Na Rì,258,2019
340,6,Ba Bể,67,2019
341,6,Pác Nặm,50,2019
342,6,Bạch Thông,92,2019
343,6,TX. Bắc Kạn,44,2019
344,6,Chợ Mới,23,2020
345,6,Ngân Sơn,10,2020
346,6,Chợ Đồn,39,2020
347,6,Na Rì,18,2020
348,6,Pác Nặm,3,2020
349,6,Ba Bể,14,2020
350,6,Bạch Thông,5,2020
351,6,TX. Bắc Kạn,1,2020
352,8,Lâm Bình,10,2011
353,8,Chiêm Hóa,10,2011
354,8,Hàm Yên,2,2011
355,8,Yên Sơn,14,2011
356,8,Na Hang,11,2011
357,8,Sơn Dương,2,2011
358,8,Lâm Bình,7,2012
359,8,Chiêm Hóa,22,2012
360,8,Hàm Yên,9,2012
361,8,Yên Sơn,35,2012
362,8,Na Hang,12,2012
363,8,Sơn Dương,2,2012
364,8,Lâm Bình,2,2013
365,8,Chiêm Hóa,21,2013
366,8,Hàm Yên,16,2013
367,8,Yên Sơn,25,2013
368,8,Na Hang,3,2013
369,8,Sơn Dương,5,2013
370,8,Lâm Bình,5,2014
371,8,Chiêm Hóa,13,2014
372,8,Hàm Yên,18,2014
373,8,Yên Sơn,28,2014
374,8,Na Hang,1,2014
375,8,Sơn Dương,6,2014
376,8,Lâm Bình,5,2015
377,8,Chiêm Hóa,53,2015
378,8,Hàm Yên,44,2015
379,8,Yên Sơn,35,2015
380,8,Na Hang,6,2015
381,8,Sơn Dương,5,2015
382,8,Lâm Bình,4,2016
383,8,Chiêm Hóa,22,2016
384,8,Hàm Yên,9,2016
385,8,Yên Sơn,15,2016
386,8,Na Hang,5,2016
387,8,Sơn Dương,6,2016
388,8,Lâm Bình,69,2017
389,8,Chiêm Hóa,136,2017
390,8,Hàm Yên,94,2017
391,8,Yên Sơn,114,2017
392,8,Na Hang,38,2017
393,8,Sơn Dương,26,2017
394,8,Tuyên Quang,6,2017
395,8,Lâm Bình,135,2018
396,8,Chiêm Hóa,419,2018
397,8,Hàm Yên,243,2018
398,8,Yên Sơn,605,2018
399,8,Na Hang,110,2018
400,8,Sơn Dương,112,2018
401,8,Tuyên Quang,25,2018
402,8,Lâm Bình,184,2019
403,8,Chiêm Hóa,568,2019
404,8,Hàm Yên,381,2019
405,8,Yên Sơn,433,2019
406,8,Sơn Dương,165,2019
407,8,Na Hang,197,2019
408,8,Tuyên Quang,17,2019
409,8,Lâm Bình,15,2020
410,8,Chiêm Hóa,62,2020
411,8,Hàm Yên,61,2020
412,8,Yên Sơn,86,2020
413,8,Na Hang,10,2020
414,8,Sơn Dương,19,2020
415,8,Tuyên Quang,1,2020
416,10,Mường Khương,2,2011
417,10,Bảo Yên,4,2011
418,10,Văn Bàn,2,2011
419,10,Bắc Hà,1,2011
420,10,Bảo Thắng,1,2011
421,10,Bát Xát,20,2012
422,10,Lào Cai,1,2012
423,10,Mường Khương,3,2012
424,10,Bảo Yên,2,2012
425,10,Văn Bàn,42,2012
426,10,Bắc Hà,2,2012
427,10,Sa Pa,11,2012
428,10,Bảo Thắng,1,2012
429,10,Mường Khương,1,2013
430,10,Bảo Yên,6,2013
431,10,Văn Bàn,12,2013
432,10,Bắc Hà,4,2013
433,10,Bảo Thắng,7,2013
434,10,Bát Xát,22,2014
435,10,Lào Cai,1,2014
436,10,Mường Khương,4,2014
437,10,Bảo Yên,5,2014
438,10,Văn Bàn,35,2014
439,10,Bắc Hà,3,2014
440,10,Sa Pa,4,2014
441,10,Bảo Thắng,6,2014
442,10,Bát Xát,11,2015
443,10,Mường Khương,4,2015
444,10,Bảo Yên,6,2015
445,10,Văn Bàn,28,2015
446,10,Bắc Hà,3,2015
447,10,Sa Pa,5,2015
448,10,Bảo Thắng,4,2015
449,10,Bát Xát,6,2016
450,10,Lào Cai,4,2016
451,10,Mường Khương,4,2016
452,10,Bảo Yên,4,2016
453,10,Văn Bàn,58,2016
454,10,Bắc Hà,2,2016
455,10,Sa Pa,4,2016
456,10,Bảo Thắng,1,2016
457,10,Bát Xát,38,2017
458,10,Mường Khương,34,2017
459,10,Lào Cai,9,2017
460,10,Bảo Yên,35,2017
461,10,Văn Bàn,105,2017
462,10,Bắc Hà,31,2017
463,10,Sa Pa,15,2017
464,10,Si Ma Cai,3,2017
465,10,Bảo Thắng,29,2017
466,10,Bát Xát,211,2018
467,10,Mường Khương,200,2018
468,10,Lào Cai,14,2018
469,10,Bảo Yên,242,2018
470,10,Văn Bàn,687,2018
471,10,Bắc Hà,155,2018
472,10,Si Ma Cai,12,2018
473,10,Sa Pa,20,2018
474,10,Bảo Thắng,113,2018
475,10,Bát Xát,300,2019
476,10,Mường Khương,246,2019
477,10,Lào Cai,19,2019
478,10,Bảo Yên,184,2019
479,10,Văn Bàn,1003,2019
480,10,Bắc Hà,128,2019
481,10,Si Ma Cai,94,2019
482,10,Sa Pa,17,2019
483,10,Bảo Thắng,98,2019
484,10,Bát Xát,45,2020
485,10,Mường Khương,33,2020
486,10,Lào Cai,3,2020
487,10,Bảo Yên,74,2020
488,10,Văn Bàn,45,2020
489,10,Bắc Hà,34,2020
490,10,Si Ma Cai,5,2020
491,10,Bảo Thắng,15,2020
492,11,Nậm Pồ,105,2011
493,11,Tủa Chùa,9,2011
494,11,Điện Biên Đông,92,2011
495,11,TX. Mường Lay,6,2011
496,11,Mường Chà,75,2011
497,11,Tuần Giáo,59,2011
498,11,Điện Biên,154,2011
499,11,Mường Nhé,57,2011
500,11,Điện Biên Ph,1,2011
501,11,Mường ảng,20,2011
502,11,Nậm Pồ,231,2012
503,11,Tủa Chùa,46,2012
504,11,TX. Mường Lay,14,2012
505,11,Điện Biên Đông,130,2012
506,11,Mường Chà,246,2012
507,11,Tuần Giáo,211,2012
508,11,Điện Biên,334,2012
509,11,Mường Nhé,322,2012
510,11,Điện Biên Ph,1,2012
511,11,Mường ảng,32,2012
512,11,Nậm Pồ,184,2013
513,11,Tủa Chùa,29,2013
514,11,TX. Mường Lay,10,2013
515,11,Điện Biên Đông,117,2013
516,11,Mường Chà,132,2013
517,11,Tuần Giáo,93,2013
518,11,Điện Biên,249,2013
519,11,Mường Nhé,145,2013
520,11,Điện Biên Ph,3,2013
521,11,Mường ảng,34,2013
522,11,Nậm Pồ,290,2014
523,11,Tủa Chùa,44,2014
524,11,TX. Mường Lay,14,2014
525,11,Điện Biên Đông,160,2014
526,11,Mường Chà,221,2014
527,11,Tuần Giáo,180,2014
528,11,Điện Biên,400,2014
529,11,Điện Biên Ph,4,2014
530,11,Mường Nhé,352,2014
531,11,Mường ảng,41,2014
532,11,Nậm Pồ,150,2015
533,11,Tủa Chùa,25,2015
534,11,TX. Mường Lay,5,2015
535,11,Điện Biên Đông,108,2015
536,11,Mường Chà,149,2015
537,11,Tuần Giáo,112,2015
538,11,Điện Biên,264,2015
539,11,Điện Biên Ph,2,2015
540,11,Mường Nhé,173,2015
541,11,Mường ảng,25,2015
542,11,Nậm Pồ,169,2016
543,11,Tủa Chùa,8,2016
544,11,Điện Biên Đông,97,2016
545,11,TX. Mường Lay,2,2016
546,11,Mường Chà,145,2016
547,11,Tuần Giáo,158,2016
548,11,Điện Biên,242,2016
549,11,Mường Nhé,218,2016
550,11,Điện Biên Ph,1,2016
551,11,Mường ảng,36,2016
552,11,Nậm Pồ,476,2017
553,11,Tủa Chùa,64,2017
554,11,Điện Biên Đông,615,2017
555,11,TX. Mường Lay,6,2017
556,11,Mường Chà,325,2017
557,11,Tuần Giáo,270,2017
558,11,Điện Biên,739,2017
559,11,Mường Nhé,396,2017
560,11,Điện Biên Ph,3,2017
561,11,Mường ảng,87,2017
562,11,Nậm Pồ,5399,2018
563,11,Tủa Chùa,493,2018
564,11,Điện Biên Đông,6131,2018
565,11,TX. Mường Lay,74,2018
566,11,Mường Chà,2336,2018
567,11,Tuần Giáo,2550,2018
568,11,Điện Biên,6891,2018
569,11,Mường Nhé,4296,2018
570,11,Điện Biên Ph,29,2018
571,11,Mường ảng,1082,2018
572,11,Nậm Pồ,10980,2019
573,11,Tủa Chùa,1260,2019
574,11,Điện Biên Đông,7113,2019
575,11,TX. Mường Lay,180,2019
576,11,Mường Chà,7137,2019
577,11,Tuần Giáo,6712,2019
578,11,Điện Biên,12953,2019
579,11,Mường Nhé,10920,2019
580,11,Điện Biên Ph,90,2019
581,11,Mường ảng,1629,2019
582,11,Nậm Pồ,454,2020
583,11,Tủa Chùa,19,2020
584,11,Điện Biên Đông,913,2020
585,11,TX. Mường Lay,9,2020
586,11,Mường Chà,260,2020
587,11,Tuần Giáo,237,2020
588,11,Điện Biên,1300,2020
589,11,Mường Nhé,373,2020
590,11,Điện Biên Ph,3,2020
591,11,Mường ảng,125,2020
592,12,Nậm Nhùn,96,2011
593,12,Phong Thổ,12,2011
594,12,Sìn Hồ,22,2011
595,12,Than Uyên,17,2011
596,12,Mường Tè,64,2011
597,12,Bắc Tân Uyên,16,2011
598,12,Tam Đường,15,2012
599,12,Phong Thổ,42,2012
600,12,Sìn Hồ,98,2012
601,12,Than Uyên,117,2012
602,12,Mường Tè,466,2012
603,12,Lai Châu,3,2012
604,12,Bắc Tân Uyên,91,2012
605,12,Nậm Nhùn,270,2012
606,12,Nậm Nhùn,111,2013
607,12,Tam Đường,2,2013
608,12,Phong Thổ,7,2013
609,12,Sìn Hồ,46,2013
610,12,Than Uyên,60,2013
611,12,Mường Tè,144,2013
612,12,Bắc Tân Uyên,24,2013
613,12,Tam Đường,10,2014
614,12,Phong Thổ,39,2014
615,12,Sìn Hồ,110,2014
616,12,Than Uyên,95,2014
617,12,Mường Tè,535,2014
618,12,Lai Châu,2,2014
619,12,Bắc Tân Uyên,51,2014
620,12,Nậm Nhùn,236,2014
621,12,Tam Đường,1,2015
622,12,Phong Thổ,14,2015
623,12,Sìn Hồ,31,2015
624,12,Than Uyên,31,2015
625,12,Mường Tè,192,2015
626,12,Lai Châu,2,2015
627,12,Bắc Tân Uyên,29,2015
628,12,Nậm Nhùn,72,2015
629,12,Nậm Nhùn,80,2016
630,12,Tam Đường,2,2016
631,12,Phong Thổ,15,2016
632,12,Sìn Hồ,45,2016
633,12,Than Uyên,18,2016
634,12,Mường Tè,218,2016
635,12,Bắc Tân Uyên,19,2016
636,12,Tam Đường,39,2017
637,12,Phong Thổ,128,2017
638,12,Sìn Hồ,224,2017
639,12,Than Uyên,72,2017
640,12,Mường Tè,460,2017
641,12,Lai Châu,5,2017
642,12,Bắc Tân Uyên,91,2017
643,12,Nậm Nhùn,249,2017
644,12,Tam Đường,181,2018
645,12,Phong Thổ,1007,2018
646,12,Sìn Hồ,2185,2018
647,12,Than Uyên,588,2018
648,12,Mường Tè,3139,2018
649,12,Lai Châu,34,2018
650,12,Bắc Tân Uyên,764,2018
651,12,Nậm Nhùn,1251,2018
652,12,Tam Đường,210,2019
653,12,Phong Thổ,1040,2019
654,12,Sìn Hồ,4826,2019
655,12,Than Uyên,955,2019
656,12,Mường Tè,12192,2019
657,12,Lai Châu,40,2019
658,12,Bắc Tân Uyên,805,2019
659,12,Nậm Nhùn,2618,2019
660,12,Tam Đường,6,2020
661,12,Phong Thổ,72,2020
662,12,Sìn Hồ,152,2020
663,12,Than Uyên,30,2020
664,12,Mường Tè,460,2020
665,12,Lai Châu,2,2020
666,12,Bắc Tân Uyên,58,2020
667,12,Nậm Nhùn,113,2020
668,14,Thuận Châu,24,2011
669,14,Yên Châu,11,2011
670,14,Sông Mã,47,2011
671,14,Quỳnh Nhai,35,2011
672,14,Mường La,34,2011
673,14,Phù Yên,15,2011
674,14,Mai Sơn,26,2011
675,14,Sốp Cộp,88,2011
676,14,Sơn La,7,2011
677,14,Bắc Yên,8,2011
678,14,Vân Hồ,22,2011
679,14,Mộc Châu,9,2011
680,14,Thuận Châu,95,2012
681,14,Yên Châu,38,2012
682,14,Sông Mã,104,2012
683,14,Quỳnh Nhai,122,2012
684,14,Mường La,107,2012
685,14,Phù Yên,27,2012
686,14,Mai Sơn,64,2012
687,14,Sốp Cộp,380,2012
688,14,Sơn La,23,2012
689,14,Bắc Yên,38,2012
690,14,Vân Hồ,33,2012
691,14,Mộc Châu,24,2012
692,14,Thuận Châu,64,2013
693,14,Yên Châu,7,2013
694,14,Sông Mã,53,2013
695,14,Quỳnh Nhai,55,2013
696,14,Mường La,35,2013
697,14,Phù Yên,12,2013
698,14,Mai Sơn,41,2013
699,14,Sốp Cộp,169,2013
700,14,Sơn La,12,2013
701,14,Bắc Yên,20,2013
702,14,Vân Hồ,22,2013
703,14,Mộc Châu,10,2013
704,14,Thuận Châu,117,2014
705,14,Yên Châu,21,2014
706,14,Sông Mã,107,2014
707,14,Quỳnh Nhai,94,2014
708,14,Mường La,72,2014
709,14,Phù Yên,13,2014
710,14,Mai Sơn,63,2014
711,14,Sốp Cộp,388,2014
712,14,Sơn La,14,2014
713,14,Bắc Yên,43,2014
714,14,Vân Hồ,25,2014
715,14,Mộc Châu,17,2014
716,14,Thuận Châu,52,2015
717,14,Yên Châu,27,2015
718,14,Sông Mã,65,2015
719,14,Quỳnh Nhai,66,2015
720,14,Mường La,115,2015
721,14,Phù Yên,26,2015
722,14,Mai Sơn,63,2015
723,14,Sốp Cộp,213,2015
724,14,Sơn La,9,2015
725,14,Bắc Yên,30,2015
726,14,Vân Hồ,22,2015
727,14,Mộc Châu,24,2015
728,14,Thuận Châu,130,2016
729,14,Yên Châu,7,2016
730,14,Sông Mã,144,2016
731,14,Quỳnh Nhai,24,2016
732,14,Mường La,75,2016
733,14,Phù Yên,40,2016
734,14,Mai Sơn,39,2016
735,14,Sốp Cộp,424,2016
736,14,Sơn La,8,2016
737,14,Bắc Yên,26,2016
738,14,Vân Hồ,7,2016
739,14,Mộc Châu,4,2016
740,14,Thuận Châu,205,2017
741,14,Yên Châu,72,2017
742,14,Sông Mã,274,2017
743,14,Quỳnh Nhai,136,2017
744,14,Mường La,174,2017
745,14,Phù Yên,57,2017
746,14,Mai Sơn,160,2017
747,14,Sốp Cộp,463,2017
748,14,Sơn La,65,2017
749,14,Bắc Yên,68,2017
750,14,Vân Hồ,105,2017
751,14,Mộc Châu,64,2017
752,14,Thuận Châu,2035,2018
753,14,Yên Châu,677,2018
754,14,Sông Mã,3367,2018
755,14,Quỳnh Nhai,1113,2018
756,14,Mường La,2108,2018
757,14,Phù Yên,519,2018
758,14,Mai Sơn,2192,2018
759,14,Sốp Cộp,5529,2018
760,14,Sơn La,855,2018
761,14,Bắc Yên,1382,2018
762,14,Vân Hồ,273,2018
763,14,Mộc Châu,598,2018
764,14,Thuận Châu,3889,2019
765,14,Yên Châu,1243,2019
766,14,Sông Mã,5638,2019
767,14,Quỳnh Nhai,2298,2019
768,14,Mường La,5532,2019
769,14,Phù Yên,738,2019
770,14,Mai Sơn,5622,2019
771,14,Sốp Cộp,13410,2019
772,14,Sơn La,1001,2019
773,14,Bắc Yên,1877,2019
774,14,Vân Hồ,488,2019
775,14,Mộc Châu,966,2019
776,14,Thuận Châu,323,2020
777,14,Yên Châu,73,2020
778,14,Sông Mã,396,2020
779,14,Quỳnh Nhai,38,2020
780,14,Mường La,211,2020
781,14,Phù Yên,49,2020
782,14,Mai Sơn,183,2020
783,14,Sốp Cộp,1299,2020
784,14,Sơn La,31,2020
785,14,Bắc Yên,100,2020
786,14,Vân Hồ,39,2020
787,14,Mộc Châu,18,2020
788,15,Văn Chấn,7,2011
789,15,Lục Yên,4,2011
790,15,Trạm Tấu,4,2011
791,15,Trấn Yên,10,2011
792,15,Mù Cang Chải,9,2011
793,15,Văn Yên,4,2011
794,15,Yên Bình,4,2011
795,15,Văn Chấn,8,2012
796,15,Lục Yên,6,2012
797,15,Trạm Tấu,13,2012
798,15,Trấn Yên,7,2012
799,15,Mù Cang Chải,32,2012
800,15,Văn Yên,22,2012
801,15,Yên Bình,3,2012
802,15,Văn Chấn,10,2013
803,15,Lục Yên,8,2013
804,15,Trạm Tấu,1,2013
805,15,Trấn Yên,18,2013
806,15,Mù Cang Chải,18,2013
