Name,Year,Month,value
Cà Mau,2012,1,78.0
Lai Châu,2011,1,78.0
Sơn La,2011,1,84.0
Tuyên Quang,2011,1,79.0
Hà Nội,2011,1,71.0
Bãi Cháy,2011,1,75.0
Nam Định,2011,1,75.0
Vinh,2011,1,87.0
Huế,2011,1,95.0
Đà Nẵng,2011,1,83.0
Qui Nhơn,2011,1,79.0
Pleiku,2011,1,75.0
Đà Lạt,2011,1,85.0
Nha Trang,2011,1,83.0
Vũng Tàu,2011,1,77.0
Cà Mau,2011,1,75.0
Lai Châu,2010,1,77.0
Sơn La,2010,1,76.0
Tuyên Quang,2010,1,77.0
Hà Nội,2010,1,81.0
Bãi Cháy,2010,1,86.0
Nam Định,2010,1,89.0
Vinh,2010,1,89.0
Huế,2010,1,93.0
Đà Nẵng,2010,1,84.0
Qui Nhơn,2010,1,83.0
Pleiku,2010,1,76.0
Đà Lạt,2010,1,81.0
Nha Trang,2010,1,78.0
Vũng Tàu,2010,1,74.0
Cà Mau,2010,1,78.0
Lai Châu,2009,1,74.0
Sơn La,2009,1,77.0
Tuyên Quang,2009,1,77.0
Hà Nội,2009,1,72.0
Bãi Cháy,2009,1,73.0
Nam Định,2009,1,78.0
Vinh,2009,1,83.0
Huế,2009,1,91.0
Đà Nẵng,2009,1,82.0
Qui Nhơn,2009,1,79.0
Pleiku,2009,1,76.0
Đà Lạt,2009,1,81.0
Nha Trang,2009,1,78.0
Vũng Tàu,2009,1,74.0
Cà Mau,2009,1,80.0
Lai Châu,2008,1,80.0
Sơn La,2008,1,80.0
Tuyên Quang,2008,1,81.0
Hà Nội,2008,1,80.0
Bãi Cháy,2008,1,81.0
Nam Định,2008,1,85.0
Vinh,2008,1,89.0
Huế,2008,1,92.0
Đà Nẵng,2008,1,85.0
Qui Nhơn,2008,1,81.0
Pleiku,2008,1,77.0
Đà Lạt,2008,1,85.0
Nha Trang,2008,1,81.0
Vũng Tàu,2008,1,76.0
Cà Mau,2008,1,80.0
Lai Châu,2007,1,76.0
Sơn La,2007,1,75.0
Tuyên Quang,2007,1,77.0
Hà Nội,2007,1,69.0
Bãi Cháy,2007,1,71.0
Nam Định,2007,1,76.0
Vinh,2007,1,87.0
Huế,2007,1,93.0
Đà Nẵng,2007,1,87.0
Qui Nhơn,2007,1,80.0
Pleiku,2007,1,77.0
Đà Lạt,2007,1,83.0
Nha Trang,2007,1,78.0
Vũng Tàu,2007,1,73.0
Cà Mau,2007,1,80.0
Lai Châu,2006,1,71.0
Sơn La,2006,1,78.0
Tuyên Quang,2006,1,78.0
Hà Nội,2006,1,74.0
Bãi Cháy,2006,1,81.0
Nam Định,2006,1,80.0
Vinh,2006,1,88.0
Huế,2006,1,92.0
Đà Nẵng,2006,1,86.0
Qui Nhơn,2006,1,84.0
Pleiku,2006,1,80.0
Đà Lạt,2006,1,86.0
Nha Trang,2006,1,77.0
Vũng Tàu,2006,1,77.0
Cà Mau,2006,1,81.0
Lai Châu,2005,1,81.0
Sơn La,2005,1,76.0
Tuyên Quang,2005,1,86.0
Hà Nội,2005,1,79.0
Bãi Cháy,2005,1,80.0
Nam Định,2005,1,83.0
Vinh,2005,1,86.0
Huế,2005,1,90.0
Đà Nẵng,2005,1,84.0
Qui Nhơn,2005,1,79.0
Pleiku,2005,1,77.0
Đà Lạt,2005,1,80.0
Nha Trang,2005,1,77.0
Vũng Tàu,2005,1,76.0
Cà Mau,2005,1,78.0
Lai Châu,2004,1,83.0
Sơn La,2004,1,77.0
Tuyên Quang,2004,1,80.0
Hà Nội,2004,1,79.0
Bãi Cháy,2004,1,81.0
Nam Định,2004,1,83.0
Vinh,2004,1,90.0
Huế,2004,1,93.0
Đà Nẵng,2004,1,86.0
Qui Nhơn,2004,1,81.0
Pleiku,2004,1,81.0
Đà Lạt,2004,1,83.0
Nha Trang,2004,1,78.0
Vũng Tàu,2004,1,75.0
Cà Mau,2004,1,78.0
Lai Châu,2003,1,78.0
Sơn La,2003,1,82.0
Tuyên Quang,2003,1,81.0
Hà Nội,2003,1,76.0
Bãi Cháy,2003,1,81.0
Nam Định,2003,1,84.0
Vinh,2003,1,91.0
Huế,2003,1,90.0
Đà Nẵng,2003,1,84.0
Qui Nhơn,2003,1,78.0
Pleiku,2003,1,79.0
Đà Lạt,2003,1,80.0
Nha Trang,2003,1,76.0
Vũng Tàu,2003,1,76.0
Cà Mau,2003,1,76.0
Lai Châu,2002,1,80.0
Sơn La,2002,1,80.0
Tuyên Quang,2002,1,81.0
Hà Nội,2002,1,78.0
Bãi Cháy,2002,1,82.0
Nam Định,2002,1,84.0
Vinh,2002,1,89.0
Huế,2002,1,92.0
Đà Nẵng,2002,1,84.0
Qui Nhơn,2002,1,78.0
Pleiku,2002,1,80.0
Đà Lạt,2002,1,82.0
Nha Trang,2002,1,76.0
Vũng Tàu,2002,1,77.0
Cà Mau,2002,1,74.0
Lai Châu,2019,2,75.0
Sơn La,2019,2,68.0
Tuyên Quang,2019,2,81.0
Hà Nội,2019,2,79.0
Bãi Cháy,2019,2,88.0
Nam Định,2019,2,88.0
Vinh,2019,2,90.0
Huế,2019,2,89.0
Đà Nẵng,2019,2,82.0
Qui Nhơn,2019,2,81.0
Pleiku,2019,2,70.0
Đà Lạt,2019,2,70.0
Nha Trang,2019,2,77.0
Vũng Tàu,2019,2,75.0
Cà Mau,2019,2,76.0
Lai Châu,2018,2,79.0
Sơn La,2018,2,69.0
Tuyên Quang,2018,2,77.0
Hà Nội,2018,2,70.0
Bãi Cháy,2018,2,75.0
Nam Định,2018,2,78.0
Vinh,2018,2,86.0
Huế,2018,2,90.0
Đà Nẵng,2018,2,81.0
Qui Nhơn,2018,2,77.0
Pleiku,2018,2,72.0
Đà Lạt,2018,2,77.0
Nha Trang,2018,2,76.0
Vũng Tàu,2018,2,74.0
Cà Mau,2018,2,76.0
Lai Châu,2017,2,78.0
Sơn La,2017,2,73.0
Tuyên Quang,2017,2,74.0
Hà Nội,2017,2,71.0
Bãi Cháy,2017,2,76.0
Nam Định,2017,2,79.0
Vinh,2017,2,88.0
Huế,2017,2,94.0
Đà Nẵng,2017,2,83.0
Qui Nhơn,2017,2,81.0
Pleiku,2017,2,75.0
Đà Lạt,2017,2,79.0
Nha Trang,2017,2,77.0
Vũng Tàu,2017,2,76.0
Cà Mau,2017,2,76.0
Lai Châu,2016,2,79.0
Sơn La,2016,2,76.0
Tuyên Quang,2016,2,76.0
Hà Nội,2016,2,67.0
Bãi Cháy,2016,2,74.0
Nam Định,2016,2,75.0
Vinh,2016,2,81.0
Huế,2016,2,90.0
Đà Nẵng,2016,2,80.0
Qui Nhơn,2016,2,79.0
Pleiku,2016,2,71.0
Đà Lạt,2016,2,79.0
Nha Trang,2016,2,75.0
Vũng Tàu,2016,2,73.0
Cà Mau,2016,2,73.0
Lai Châu,2015,2,78.0
Sơn La,2015,2,75.0
Tuyên Quang,2015,2,82.0
Hà Nội,2015,2,82.0
Bãi Cháy,2015,2,84.0
Nam Định,2015,2,87.0
Vinh,2015,2,92.0
Huế,2015,2,90.0
Đà Nẵng,2015,2,84.0
Qui Nhơn,2015,2,79.0
Pleiku,2015,2,74.0
Đà Lạt,2015,2,75.0
Nha Trang,2015,2,77.0
Vũng Tàu,2015,2,78.0
Cà Mau,2015,2,76.0
Lai Châu,2014,2,72.0
Sơn La,2014,2,72.0
Tuyên Quang,2014,2,82.0
Hà Nội,2014,2,79.0
Bãi Cháy,2014,2,83.0
Nam Định,2014,2,87.0
Vinh,2014,2,91.0
Huế,2014,2,91.0
Đà Nẵng,2014,2,82.0
Qui Nhơn,2014,2,80.0
Pleiku,2014,2,71.0
Đà Lạt,2014,2,78.0
Nha Trang,2014,2,78.0
Vũng Tàu,2014,2,78.0
Cà Mau,2014,2,78.0
Lai Châu,2013,2,82.0
Sơn La,2013,2,80.0
Tuyên Quang,2013,2,85.0
Hà Nội,2013,2,86.0
Bãi Cháy,2013,2,89.0
Nam Định,2013,2,90.0
Vinh,2013,2,91.0
Huế,2013,2,90.0
Đà Nẵng,2013,2,84.0
Qui Nhơn,2013,2,81.0
Pleiku,2013,2,71.0
Đà Lạt,2013,2,76.0
Nha Trang,2013,2,78.0
Vũng Tàu,2013,2,73.0
Cà Mau,2013,2,75.0
Lai Châu,2012,2,79.0
Sơn La,2012,2,80.0
Tuyên Quang,2012,2,85.0
Hà Nội,2012,2,83.0
Bãi Cháy,2012,2,88.0
Nam Định,2012,2,91.0
Vinh,2012,2,92.0
Huế,2012,2,91.0
Đà Nẵng,2012,2,85.0
Qui Nhơn,2012,2,81.0
Pleiku,2012,2,75.0
Đà Lạt,2012,2,80.0
Nha Trang,2012,2,82.0
Vũng Tàu,2012,2,77.0
Cà Mau,2012,2,76.0
Lai Châu,2011,2,99.0
Sơn La,2011,2,80.0
Tuyên Quang,2011,2,83.0
Hà Nội,2011,2,83.0
Bãi Cháy,2011,2,87.0
Nam Định,2011,2,86.0
Vinh,2011,2,88.0
Huế,2011,2,91.0
Đà Nẵng,2011,2,81.0
Qui Nhơn,2011,2,78.0
Pleiku,2011,2,76.0
Đà Lạt,2011,2,76.0
Nha Trang,2011,2,79.0
Vũng Tàu,2011,2,75.0
Cà Mau,2011,2,75.0
Lai Châu,2010,2,71.0
Sơn La,2010,2,68.0
Tuyên Quang,2010,2,82.0
Hà Nội,2010,2,80.0
Bãi Cháy,2010,2,86.0
Nam Định,2010,2,85.0
Vinh,2010,2,86.0
Huế,2010,2,90.0
Đà Nẵng,2010,2,85.0
Qui Nhơn,2010,2,84.0
Pleiku,2010,2,76.0
Đà Lạt,2010,2,80.0
Nha Trang,2010,2,78.0
Vũng Tàu,2010,2,74.0
Cà Mau,2010,2,78.0
Lai Châu,2009,2,74.0
Sơn La,2009,2,71.0
Tuyên Quang,2009,2,82.0
Hà Nội,2009,2,84.0
Bãi Cháy,2009,2,87.0
Nam Định,2009,2,88.0
Vinh,2009,2,85.0
Huế,2009,2,90.0
Đà Nẵng,2009,2,86.0
Qui Nhơn,2009,2,82.0
Pleiku,2009,2,76.0
Đà Lạt,2009,2,80.0
Nha Trang,2009,2,78.0
Vũng Tàu,2009,2,78.0
Cà Mau,2009,2,82.0
Lai Châu,2008,2,80.0
Sơn La,2008,2,83.0
Tuyên Quang,2008,2,78.0
Hà Nội,2008,2,72.0
Bãi Cháy,2008,2,74.0
Nam Định,2008,2,79.0
Vinh,2008,2,87.0
Huế,2008,2,94.0
Đà Nẵng,2008,2,80.0
Qui Nhơn,2008,2,78.0
Pleiku,2008,2,76.0
Đà Lạt,2008,2,81.0
Nha Trang,2008,2,79.0
Vũng Tàu,2008,2,72.0
Cà Mau,2008,2,76.0
Lai Châu,2007,2,75.0
Sơn La,2007,2,67.0
Tuyên Quang,2007,2,80.0
Hà Nội,2007,2,81.0
Bãi Cháy,2007,2,85.0
Nam Định,2007,2,87.0
Vinh,2007,2,89.0
Huế,2007,2,87.0
Đà Nẵng,2007,2,83.0
Qui Nhơn,2007,2,79.0
Pleiku,2007,2,70.0
Đà Lạt,2007,2,76.0
Nha Trang,2007,2,76.0
Vũng Tàu,2007,2,76.0
Cà Mau,2007,2,79.0
Lai Châu,2006,2,68.0
Sơn La,2006,2,79.0
Tuyên Quang,2006,2,87.0
Hà Nội,2006,2,86.0
Bãi Cháy,2006,2,87.0
Nam Định,2006,2,89.0
Vinh,2006,2,93.0
Huế,2006,2,91.0
Đà Nẵng,2006,2,85.0
Qui Nhơn,2006,2,82.0
Pleiku,2006,2,75.0
Đà Lạt,2006,2,82.0
Nha Trang,2006,2,77.0
Vũng Tàu,2006,2,73.0
Cà Mau,2006,2,76.0
Lai Châu,2005,2,73.0
Sơn La,2005,2,71.0
Tuyên Quang,2005,2,86.0
Hà Nội,2005,2,85.0
Bãi Cháy,2005,2,89.0
Nam Định,2005,2,91.0
Vinh,2005,2,93.0
Huế,2005,2,91.0
Đà Nẵng,2005,2,85.0
Qui Nhơn,2005,2,83.0
Pleiku,2005,2,73.0
Đà Lạt,2005,2,76.0
Nha Trang,2005,2,80.0
Vũng Tàu,2005,2,79.0
Cà Mau,2005,2,79.0
Lai Châu,2004,2,76.0
Sơn La,2004,2,75.0
Tuyên Quang,2004,2,83.0
Hà Nội,2004,2,83.0
Bãi Cháy,2004,2,87.0
Nam Định,2004,2,87.0
Vinh,2004,2,90.0
Huế,2004,2,92.0
Đà Nẵng,2004,2,83.0
Qui Nhơn,2004,2,80.0
Pleiku,2004,2,76.0
Đà Lạt,2004,2,78.0
Nha Trang,2004,2,75.0
Vũng Tàu,2004,2,77.0
Cà Mau,2004,2,79.0
Lai Châu,2003,2,73.0
Sơn La,2003,2,76.0
Tuyên Quang,2003,2,81.0
Hà Nội,2003,2,82.0
Bãi Cháy,2003,2,88.0
Nam Định,2003,2,89.0
Vinh,2003,2,92.0
Huế,2003,2,92.0
Đà Nẵng,2003,2,88.0
Qui Nhơn,2003,2,80.0
Pleiku,2003,2,78.0
Đà Lạt,2003,2,79.0
Nha Trang,2003,2,79.0
Vũng Tàu,2003,2,78.0
Cà Mau,2003,2,77.0
Lai Châu,2002,2,77.0
Sơn La,2002,2,79.0
Tuyên Quang,2002,2,84.0
Hà Nội,2002,2,85.0
Bãi Cháy,2002,2,90.0
Nam Định,2002,2,90.0
Vinh,2002,2,91.0
Huế,2002,2,91.0
Đà Nẵng,2002,2,84.0
Qui Nhơn,2002,2,79.0
Pleiku,2002,2,75.0
Đà Lạt,2002,2,73.0
Nha Trang,2002,2,77.0
Vũng Tàu,2002,2,76.0
Cà Mau,2002,2,75.0
Lai Châu,2019,3,77.0
Sơn La,2019,3,73.0
Tuyên Quang,2019,3,83.0
Hà Nội,2019,3,81.0
Bãi Cháy,2019,3,89.0
Nam Định,2019,3,89.0
Vinh,2019,3,91.0
Huế,2019,3,89.0
Đà Nẵng,2019,3,82.0
Qui Nhơn,2019,3,82.0
Pleiku,2019,3,72.0
Đà Lạt,2019,3,77.0
Nha Trang,2019,3,78.0
Vũng Tàu,2019,3,75.0
Cà Mau,2019,3,77.0
Lai Châu,2018,3,80.0
Sơn La,2018,3,74.0
Tuyên Quang,2018,3,81.0
Hà Nội,2018,3,77.0
Bãi Cháy,2018,3,84.0
Nam Định,2018,3,85.0
Vinh,2018,3,88.0
Huế,2018,3,88.0
Đà Nẵng,2018,3,82.0
Qui Nhơn,2018,3,79.0
Pleiku,2018,3,74.0
Đà Lạt,2018,3,81.0
Nha Trang,2018,3,78.0
Vũng Tàu,2018,3,76.0
Cà Mau,2018,3,76.0
Lai Châu,2017,3,78.0
Sơn La,2017,3,70.0
Tuyên Quang,2017,3,84.0
Hà Nội,2017,3,84.0
Bãi Cháy,2017,3,87.0
Nam Định,2017,3,89.0
Vinh,2017,3,91.0
Huế,2017,3,92.0
Đà Nẵng,2017,3,85.0
Qui Nhơn,2017,3,82.0
Pleiku,2017,3,74.0
Đà Lạt,2017,3,78.0
Nha Trang,2017,3,80.0
Vũng Tàu,2017,3,74.0
Cà Mau,2017,3,76.0
Lai Châu,2016,3,72.0
Sơn La,2016,3,74.0
Tuyên Quang,2016,3,84.0
Hà Nội,2016,3,83.0
Bãi Cháy,2016,3,87.0
Nam Định,2016,3,88.0
Vinh,2016,3,89.0
Huế,2016,3,91.0
Đà Nẵng,2016,3,84.0
Qui Nhơn,2016,3,85.0
Pleiku,2016,3,68.0
Đà Lạt,2016,3,74.0
Nha Trang,2016,3,79.0
Vũng Tàu,2016,3,76.0
Cà Mau,2016,3,75.0
Lai Châu,2015,3,73.0
Sơn La,2015,3,72.0
Tuyên Quang,2015,3,87.0
Hà Nội,2015,3,88.0
Bãi Cháy,2015,3,89.0
Nam Định,2015,3,91.0
Vinh,2015,3,94.0
Huế,2015,3,88.0
Đà Nẵng,2015,3,86.0
Qui Nhơn,2015,3,84.0
Pleiku,2015,3,70.0
Đà Lạt,2015,3,77.0
Nha Trang,2015,3,77.0
Vũng Tàu,2015,3,74.0
Cà Mau,2015,3,75.0
Lai Châu,2014,3,71.0
Sơn La,2014,3,74.0
Tuyên Quang,2014,3,87.0
Hà Nội,2014,3,87.0
Bãi Cháy,2014,3,92.0
Nam Định,2014,3,94.0
Vinh,2014,3,93.0
Huế,2014,3,91.0
Đà Nẵng,2014,3,84.0
Qui Nhơn,2014,3,83.0
Pleiku,2014,3,68.0
Đà Lạt,2014,3,78.0
Nha Trang,2014,3,79.0
Vũng Tàu,2014,3,76.0
Cà Mau,2014,3,77.0
Lai Châu,2013,3,69.0
Sơn La,2013,3,68.0
Tuyên Quang,2013,3,78.0
Hà Nội,2013,3,80.0
Bãi Cháy,2013,3,86.0
Nam Định,2013,3,87.0
Vinh,2013,3,89.0
Huế,2013,3,88.0
Đà Nẵng,2013,3,86.0
Qui Nhơn,2013,3,82.0
Pleiku,2013,3,71.0
Đà Lạt,2013,3,79.0
Nha Trang,2013,3,77.0
Vũng Tàu,2013,3,75.0
Cà Mau,2013,3,76.0
Lai Châu,2012,3,73.0
Sơn La,2012,3,72.0
Tuyên Quang,2012,3,82.0
Hà Nội,2012,3,82.0
Bãi Cháy,2012,3,88.0
Nam Định,2012,3,89.0
Vinh,2012,3,89.0
Huế,2012,3,89.0
Đà Nẵng,2012,3,81.0
Qui Nhơn,2012,3,78.0
Pleiku,2012,3,74.0
Đà Lạt,2012,3,79.0
Nha Trang,2012,3,79.0
Vũng Tàu,2012,3,76.0
Cà Mau,2012,3,78.0
Lai Châu,2011,3,75.0
Sơn La,2011,3,80.0
Tuyên Quang,2011,3,83.0
Hà Nội,2011,3,80.0
Bãi Cháy,2011,3,85.0
Nam Định,2011,3,85.0
Vinh,2011,3,89.0
Huế,2011,3,92.0
Đà Nẵng,2011,3,81.0
Qui Nhơn,2011,3,82.0
Pleiku,2011,3,72.0
Đà Lạt,2011,3,82.0
Nha Trang,2011,3,78.0
Vũng Tàu,2011,3,75.0
Cà Mau,2011,3,75.0
Lai Châu,2010,3,64.0
Sơn La,2010,3,65.0
Tuyên Quang,2010,3,82.0
Hà Nội,2010,3,78.0
Bãi Cháy,2010,3,82.0
Nam Định,2010,3,83.0
Vinh,2010,3,83.0
Huế,2010,3,89.0
Đà Nẵng,2010,3,83.0
Qui Nhơn,2010,3,82.0
Pleiku,2010,3,72.0
Đà Lạt,2010,3,80.0
Nha Trang,2010,3,78.0
Vũng Tàu,2010,3,71.0
Cà Mau,2010,3,78.0
Lai Châu,2009,3,71.0
Sơn La,2009,3,70.0
Tuyên Quang,2009,3,82.0
Hà Nội,2009,3,82.0
Bãi Cháy,2009,3,86.0
Nam Định,2009,3,89.0
Vinh,2009,3,87.0
Huế,2009,3,89.0
Đà Nẵng,2009,3,83.0
Qui Nhơn,2009,3,82.0
Pleiku,2009,3,72.0
Đà Lạt,2009,3,80.0
Nha Trang,2009,3,79.0
Vũng Tàu,2009,3,75.0
Cà Mau,2009,3,78.0
Lai Châu,2008,3,80.0
Sơn La,2008,3,75.0
Tuyên Quang,2008,3,82.0
Hà Nội,2008,3,82.0
Bãi Cháy,2008,3,85.0
Nam Định,2008,3,87.0
Vinh,2008,3,87.0
Huế,2008,3,90.0
Đà Nẵng,2008,3,85.0
Qui Nhơn,2008,3,80.0
Pleiku,2008,3,75.0
Đà Lạt,2008,3,82.0
Nha Trang,2008,3,81.0
Vũng Tàu,2008,3,76.0
Cà Mau,2008,3,77.0
Lai Châu,2007,3,69.0
Sơn La,2007,3,72.0
Tuyên Quang,2007,3,87.0
Hà Nội,2007,3,88.0
Bãi Cháy,2007,3,90.0
Nam Định,2007,3,92.0
Vinh,2007,3,92.0
Huế,2007,3,90.0
Đà Nẵng,2007,3,85.0
Qui Nhơn,2007,3,83.0
Pleiku,2007,3,75.0
Đà Lạt,2007,3,83.0
Nha Trang,2007,3,80.0
Vũng Tàu,2007,3,76.0
Cà Mau,2007,3,79.0
Lai Châu,2006,3,67.0
Sơn La,2006,3,78.0
Tuyên Quang,2006,3,86.0
Hà Nội,2006,3,84.0
Bãi Cháy,2006,3,89.0
Nam Định,2006,3,89.0
Vinh,2006,3,90.0
Huế,2006,3,90.0
Đà Nẵng,2006,3,84.0
Qui Nhơn,2006,3,83.0
Pleiku,2006,3,77.0
Đà Lạt,2006,3,81.0
Nha Trang,2006,3,80.0
Vũng Tàu,2006,3,77.0
Cà Mau,2006,3,79.0
Lai Châu,2005,3,71.0
Sơn La,2005,3,75.0
Tuyên Quang,2005,3,86.0
Hà Nội,2005,3,83.0
Bãi Cháy,2005,3,87.0
Nam Định,2005,3,87.0
Vinh,2005,3,89.0
Huế,2005,3,92.0
Đà Nẵng,2005,3,84.0
Qui Nhơn,2005,3,82.0
Pleiku,2005,3,74.0
Đà Lạt,2005,3,81.0
Nha Trang,2005,3,80.0
Vũng Tàu,2005,3,77.0
Cà Mau,2005,3,76.0
Lai Châu,2004,3,80.0
Sơn La,2004,3,72.0
Tuyên Quang,2004,3,81.0
Hà Nội,2004,3,81.0
Bãi Cháy,2004,3,85.0
Nam Định,2004,3,85.0
Vinh,2004,3,90.0
Huế,2004,3,91.0
Đà Nẵng,2004,3,85.0
Qui Nhơn,2004,3,81.0
Pleiku,2004,3,76.0
Đà Lạt,2004,3,85.0
Nha Trang,2004,3,79.0
Vũng Tàu,2004,3,79.0
Cà Mau,2004,3,79.0
Lai Châu,2003,3,63.0
Sơn La,2003,3,74.0
Tuyên Quang,2003,3,79.0
Hà Nội,2003,3,77.0
Bãi Cháy,2003,3,84.0
Nam Định,2003,3,82.0
Vinh,2003,3,90.0
Huế,2003,3,91.0
Đà Nẵng,2003,3,84.0
Qui Nhơn,2003,3,81.0
Pleiku,2003,3,76.0
Đà Lạt,2003,3,84.0
Nha Trang,2003,3,78.0
Vũng Tàu,2003,3,77.0
Cà Mau,2003,3,80.0
Lai Châu,2002,3,77.0
Sơn La,2002,3,73.0
Tuyên Quang,2002,3,83.0
Hà Nội,2002,3,82.0
Bãi Cháy,2002,3,86.0
Nam Định,2002,3,87.0
Vinh,2002,3,88.0
Huế,2002,3,90.0
Đà Nẵng,2002,3,85.0
Qui Nhơn,2002,3,79.0
Pleiku,2002,3,75.0
Đà Lạt,2002,3,78.0
Nha Trang,2002,3,78.0
Vũng Tàu,2002,3,78.0
Cà Mau,2002,3,74.0
Lai Châu,2019,4,75.0
Sơn La,2019,4,65.0
Tuyên Quang,2019,4,83.0
Hà Nội,2019,4,82.0
Bãi Cháy,2019,4,87.0
Nam Định,2019,4,87.0
Vinh,2019,4,84.0
Huế,2019,4,81.0
Đà Nẵng,2019,4,80.0
Qui Nhơn,2019,4,78.0
Pleiku,2019,4,75.0
Đà Lạt,2019,4,84.0
Nha Trang,2019,4,75.0
Vũng Tàu,2019,4,73.0
Cà Mau,2019,4,77.0
Lai Châu,2018,4,80.0
Sơn La,2018,4,77.0
Tuyên Quang,2018,4,80.0
Hà Nội,2018,4,77.0
Bãi Cháy,2018,4,84.0
Nam Định,2018,4,86.0
Vinh,2018,4,88.0
Huế,2018,4,87.0
Đà Nẵng,2018,4,82.0
Qui Nhơn,2018,4,82.0
Pleiku,2018,4,73.0
Đà Lạt,2018,4,81.0
Nha Trang,2018,4,79.0
Vũng Tàu,2018,4,76.0
Cà Mau,2018,4,76.0
Lai Châu,2017,4,79.0
Sơn La,2017,4,75.0
Tuyên Quang,2017,4,81.0
Hà Nội,2017,4,79.0
Bãi Cháy,2017,4,82.0
Nam Định,2017,4,85.0
Vinh,2017,4,84.0
Huế,2017,4,88.0
Đà Nẵng,2017,4,82.0
Qui Nhơn,2017,4,82.0
Pleiku,2017,4,76.0
Đà Lạt,2017,4,85.0
Nha Trang,2017,4,83.0
Vũng Tàu,2017,4,74.0
Cà Mau,2017,4,77.0
Lai Châu,2016,4,76.0
Sơn La,2016,4,71.0
Tuyên Quang,2016,4,83.0
Hà Nội,2016,4,83.0
Bãi Cháy,2016,4,89.0
Nam Định,2016,4,88.0
Vinh,2016,4,88.0
Huế,2016,4,86.0
