,Name,Year,Month,value
172,Huế,2008,1,19.6
173,Đà Nẵng,2008,1,21.6
174,Qui Nhơn,2008,1,23.2
175,Pleiku,2008,1,19.8
176,Đà Lạt,2008,1,16.4
177,Nha Trang,2008,1,24.0
178,Vũng Tàu,2008,1,26.5
179,Cà Mau,2008,1,26.2
180,Lai Châu,2007,1,17.4
181,Sơn La,2007,1,14.8
182,Tuyên Quang,2007,1,16.1
183,Hà Nội,2007,1,16.9
184,Bãi Cháy,2007,1,16.2
185,Nam Định,2007,1,16.5
186,Vinh,2007,1,17.2
187,Huế,2007,1,19.3
188,Đà Nẵng,2007,1,21.3
189,Qui Nhơn,2007,1,23.5
190,Pleiku,2007,1,19.5
191,Đà Lạt,2007,1,16.3
192,Nha Trang,2007,1,24.6
193,Vũng Tàu,2007,1,26.4
194,Cà Mau,2007,1,26.1
195,Lai Châu,2006,1,17.8
196,Sơn La,2006,1,15.4
197,Tuyên Quang,2006,1,17.9
198,Hà Nội,2006,1,18.3
199,Bãi Cháy,2006,1,17.0
200,Nam Định,2006,1,18.0
201,Vinh,2006,1,18.3
202,Huế,2006,1,19.9
203,Đà Nẵng,2006,1,21.6
204,Qui Nhơn,2006,1,23.1
205,Pleiku,2006,1,20.1
206,Đà Lạt,2006,1,16.8
207,Nha Trang,2006,1,24.2
208,Vũng Tàu,2006,1,26.3
209,Cà Mau,2006,1,26.2
210,Lai Châu,2019,2,18.8
211,Sơn La,2019,2,20.6
212,Tuyên Quang,2019,2,22.3
213,Hà Nội,2019,2,22.4
214,Bãi Cháy,2019,2,21.3
215,Nam Định,2019,2,21.9
216,Vinh,2019,2,22.9
217,Huế,2019,2,24.1
218,Đà Nẵng,2019,2,25.0
219,Qui Nhơn,2019,2,25.8
220,Pleiku,2019,2,22.6
221,Đà Lạt,2019,2,17.4
222,Nha Trang,2019,2,25.9
223,Vũng Tàu,2019,2,27.3
224,Cà Mau,2019,2,27.4
225,Lai Châu,2018,2,14.3
226,Sơn La,2018,2,16.2
227,Tuyên Quang,2018,2,17.4
228,Hà Nội,2018,2,17.5
229,Bãi Cháy,2018,2,16.5
230,Nam Định,2018,2,17.0
231,Vinh,2018,2,17.4
232,Huế,2018,2,19.2
233,Đà Nẵng,2018,2,21.5
234,Qui Nhơn,2018,2,23.2
235,Pleiku,2018,2,20.3
236,Đà Lạt,2018,2,16.4
237,Nha Trang,2018,2,24.1
238,Vũng Tàu,2018,2,26.1
239,Cà Mau,2018,2,26.6
240,Lai Châu,2017,2,15.1
241,Sơn La,2017,2,17.0
242,Tuyên Quang,2017,2,19.5
243,Hà Nội,2017,2,20.1
244,Bãi Cháy,2017,2,18.8
245,Nam Định,2017,2,19.4
246,Vinh,2017,2,19.4
247,Huế,2017,2,20.5
248,Đà Nẵng,2017,2,22.6
249,Qui Nhơn,2017,2,24.1
250,Pleiku,2017,2,20.9
251,Đà Lạt,2017,2,16.8
252,Nha Trang,2017,2,25.1
253,Vũng Tàu,2017,2,26.4
254,Cà Mau,2017,2,27.1
255,Lai Châu,2016,2,12.5
256,Sơn La,2016,2,13.9
257,Tuyên Quang,2016,2,16.2
258,Hà Nội,2016,2,16.9
259,Bãi Cháy,2016,2,15.3
260,Nam Định,2016,2,16.3
261,Vinh,2016,2,16.4
262,Huế,2016,2,18.3
263,Đà Nẵng,2016,2,21.1
264,Qui Nhơn,2016,2,23.2
265,Pleiku,2016,2,20.7
266,Đà Lạt,2016,2,16.8
267,Nha Trang,2016,2,25.0
268,Vũng Tàu,2016,2,27.0
269,Cà Mau,2016,2,27.3
270,Lai Châu,2015,2,16.3
271,Sơn La,2015,2,17.7
272,Tuyên Quang,2015,2,19.2
273,Hà Nội,2015,2,19.2
274,Bãi Cháy,2015,2,18.6
275,Nam Định,2015,2,18.8
276,Vinh,2015,2,19.8
277,Huế,2015,2,21.8
278,Đà Nẵng,2015,2,22.9
279,Qui Nhơn,2015,2,23.9
280,Pleiku,2015,2,20.4
281,Đà Lạt,2015,2,16.5
282,Nha Trang,2015,2,24.2
283,Vũng Tàu,2015,2,25.3
284,Cà Mau,2015,2,26.0
285,Lai Châu,2014,2,16.1
286,Sơn La,2014,2,16.8
287,Tuyên Quang,2014,2,17.1
288,Hà Nội,2014,2,17.2
289,Bãi Cháy,2014,2,16.2
290,Nam Định,2014,2,16.9
291,Vinh,2014,2,18.0
292,Huế,2014,2,20.4
293,Đà Nẵng,2014,2,21.9
294,Qui Nhơn,2014,2,23.2
295,Pleiku,2014,2,20.8
296,Đà Lạt,2014,2,16.5
297,Nha Trang,2014,2,23.8
298,Vũng Tàu,2014,2,25.5
299,Cà Mau,2014,2,25.9
300,Lai Châu,2013,2,18.2
301,Sơn La,2013,2,19.6
302,Tuyên Quang,2013,2,19.7
303,Hà Nội,2013,2,19.9
304,Bãi Cháy,2013,2,19.1
305,Nam Định,2013,2,19.5
306,Vinh,2013,2,20.6
307,Huế,2013,2,22.9
308,Đà Nẵng,2013,2,24.4
309,Qui Nhơn,2013,2,25.5
310,Pleiku,2013,2,21.9
311,Đà Lạt,2013,2,17.7
312,Nha Trang,2013,2,26.0
313,Vũng Tàu,2013,2,27.1
314,Cà Mau,2013,2,27.5
315,Lai Châu,2012,2,16.1
316,Sơn La,2012,2,16.7
317,Tuyên Quang,2012,2,15.9
318,Hà Nội,2012,2,16.1
319,Bãi Cháy,2012,2,15.5
320,Nam Định,2012,2,16.0
321,Vinh,2012,2,17.0
322,Huế,2012,2,20.0
323,Đà Nẵng,2012,2,22.2
324,Qui Nhơn,2012,2,24.5
325,Pleiku,2012,2,21.4
326,Đà Lạt,2012,2,17.4
327,Nha Trang,2012,2,25.0
328,Vũng Tàu,2012,2,26.7
329,Cà Mau,2012,2,27.2
330,Lai Châu,2011,2,18.0
331,Sơn La,2011,2,16.7
332,Tuyên Quang,2011,2,17.6
333,Hà Nội,2011,2,17.7
334,Bãi Cháy,2011,2,16.4
335,Nam Định,2011,2,17.2
336,Vinh,2011,2,17.7
337,Huế,2011,2,19.4
338,Đà Nẵng,2011,2,21.5
339,Qui Nhơn,2011,2,23.8
340,Pleiku,2011,2,20.1
341,Đà Lạt,2011,2,16.5
342,Nha Trang,2011,2,24.6
343,Vũng Tàu,2011,2,26.0
344,Cà Mau,2011,2,26.4
345,Lai Châu,2010,2,20.1
346,Sơn La,2010,2,18.6
347,Tuyên Quang,2010,2,22.3
348,Hà Nội,2010,2,20.9
349,Bãi Cháy,2010,2,19.2
350,Nam Định,2010,2,20.4
351,Vinh,2010,2,21.5
352,Huế,2010,2,23.2
353,Đà Nẵng,2010,2,24.4
354,Qui Nhơn,2010,2,25.7
355,Pleiku,2010,2,21.4
356,Đà Lạt,2010,2,17.2
357,Nha Trang,2010,2,26.1
358,Vũng Tàu,2010,2,26.7
359,Cà Mau,2010,2,26.7
360,Lai Châu,2009,2,21.5
361,Sơn La,2009,2,21.0
362,Tuyên Quang,2009,2,22.4
363,Hà Nội,2009,2,22.5
364,Bãi Cháy,2009,2,21.4
365,Nam Định,2009,2,21.9
366,Vinh,2009,2,22.7
367,Huế,2009,2,23.1
368,Đà Nẵng,2009,2,23.7
369,Qui Nhơn,2009,2,24.9
370,Pleiku,2009,2,21.4
371,Đà Lạt,2009,2,17.3
372,Nha Trang,2009,2,25.4
373,Vũng Tàu,2009,2,26.7
374,Cà Mau,2009,2,26.7
375,Lai Châu,2008,2,15.0
376,Sơn La,2008,2,11.0
377,Tuyên Quang,2008,2,13.7
378,Hà Nội,2008,2,13.8
379,Bãi Cháy,2008,2,13.1
380,Nam Định,2008,2,13.4
381,Vinh,2008,2,13.8
382,Huế,2008,2,15.8
383,Đà Nẵng,2008,2,19.4
384,Qui Nhơn,2008,2,22.0
385,Pleiku,2008,2,19.2
386,Đà Lạt,2008,2,16.1
387,Nha Trang,2008,2,23.8
388,Vũng Tàu,2008,2,26.3
389,Cà Mau,2008,2,26.5
390,Lai Châu,2007,2,19.2
391,Sơn La,2007,2,19.6
392,Tuyên Quang,2007,2,22.2
393,Hà Nội,2007,2,21.9
394,Bãi Cháy,2007,2,20.1
395,Nam Định,2007,2,21.3
396,Vinh,2007,2,22.1
397,Huế,2007,2,22.8
398,Đà Nẵng,2007,2,23.7
399,Qui Nhơn,2007,2,24.5
400,Pleiku,2007,2,21.1
401,Đà Lạt,2007,2,16.7
402,Nha Trang,2007,2,24.6
403,Vũng Tàu,2007,2,26.1
404,Cà Mau,2007,2,26.4
405,Lai Châu,2006,2,21.8
406,Sơn La,2006,2,18.4
407,Tuyên Quang,2006,2,18.5
408,Hà Nội,2006,2,18.4
409,Bãi Cháy,2006,2,18.2
410,Nam Định,2006,2,18.3
411,Vinh,2006,2,19.3
412,Huế,2006,2,21.6
413,Đà Nẵng,2006,2,23.3
414,Qui Nhơn,2006,2,24.7
415,Pleiku,2006,2,21.2
416,Đà Lạt,2006,2,17.4
417,Nha Trang,2006,2,25.2
418,Vũng Tàu,2006,2,27.0
419,Cà Mau,2006,2,27.3
420,Lai Châu,2019,3,20.3
421,Sơn La,2019,3,22.0
422,Tuyên Quang,2019,3,22.5
423,Hà Nội,2019,3,22.6
424,Bãi Cháy,2019,3,21.7
425,Nam Định,2019,3,22.0
426,Vinh,2019,3,23.2
427,Huế,2019,3,25.5
428,Đà Nẵng,2019,3,26.3
429,Qui Nhơn,2019,3,27.4
430,Pleiku,2019,3,24.2
431,Đà Lạt,2019,3,18.7
432,Nha Trang,2019,3,27.4
433,Vũng Tàu,2019,3,28.4
434,Cà Mau,2019,3,28.6
435,Lai Châu,2018,3,18.4
436,Sơn La,2018,3,20.2
437,Tuyên Quang,2018,3,22.3
438,Hà Nội,2018,3,22.7
439,Bãi Cháy,2018,3,21.2
440,Nam Định,2018,3,21.8
441,Vinh,2018,3,22.1
442,Huế,2018,3,23.0
443,Đà Nẵng,2018,3,24.2
444,Qui Nhơn,2018,3,25.7
445,Pleiku,2018,3,22.5
446,Đà Lạt,2018,3,18.0
447,Nha Trang,2018,3,26.2
448,Vũng Tàu,2018,3,27.6
449,Cà Mau,2018,3,28.1
450,Lai Châu,2017,3,18.6
451,Sơn La,2017,3,21.1
452,Tuyên Quang,2017,3,21.4
453,Hà Nội,2017,3,21.9
454,Bãi Cháy,2017,3,20.8
455,Nam Định,2017,3,21.2
456,Vinh,2017,3,21.9
457,Huế,2017,3,23.5
458,Đà Nẵng,2017,3,24.9
459,Qui Nhơn,2017,3,25.8
460,Pleiku,2017,3,23.0
461,Đà Lạt,2017,3,18.4
462,Nha Trang,2017,3,26.3
463,Vũng Tàu,2017,3,27.5
464,Cà Mau,2017,3,27.9
465,Lai Châu,2016,3,19.2
466,Sơn La,2016,3,19.8
467,Tuyên Quang,2016,3,20.1
468,Hà Nội,2016,3,20.2
469,Bãi Cháy,2016,3,19.2
470,Nam Định,2016,3,19.7
471,Vinh,2016,3,19.9
472,Huế,2016,3,22.4
473,Đà Nẵng,2016,3,23.4
474,Qui Nhơn,2016,3,24.4
475,Pleiku,2016,3,23.9
476,Đà Lạt,2016,3,19.1
477,Nha Trang,2016,3,25.6
478,Vũng Tàu,2016,3,27.4
479,Cà Mau,2016,3,28.0
480,Lai Châu,2015,3,21.1
481,Sơn La,2015,3,22.5
482,Tuyên Quang,2015,3,21.7
483,Hà Nội,2015,3,21.6
484,Bãi Cháy,2015,3,21.6
485,Nam Định,2015,3,21.5
486,Vinh,2015,3,22.1
487,Huế,2015,3,25.1
488,Đà Nẵng,2015,3,25.4
489,Qui Nhơn,2015,3,26.2
490,Pleiku,2015,3,23.6
491,Đà Lạt,2015,3,18.0
492,Nha Trang,2015,3,26.2
493,Vũng Tàu,2015,3,27.7
494,Cà Mau,2015,3,27.9
495,Lai Châu,2014,3,20.3
496,Sơn La,2014,3,21.4
497,Tuyên Quang,2014,3,20.3
498,Hà Nội,2014,3,19.9
499,Bãi Cháy,2014,3,19.4
500,Nam Định,2014,3,19.5
501,Vinh,2014,3,20.3
502,Huế,2014,3,23.0
503,Đà Nẵng,2014,3,24.4
504,Qui Nhơn,2014,3,25.7
505,Pleiku,2014,3,23.5
506,Đà Lạt,2014,3,18.4
507,Nha Trang,2014,3,26.1
508,Vũng Tàu,2014,3,27.4
509,Cà Mau,2014,3,27.9
510,Lai Châu,2013,3,20.4
511,Sơn La,2013,3,22.3
512,Tuyên Quang,2013,3,24.1
513,Hà Nội,2013,3,24.0
514,Bãi Cháy,2013,3,22.6
515,Nam Định,2013,3,23.1
516,Vinh,2013,3,23.6
517,Huế,2013,3,24.6
518,Đà Nẵng,2013,3,25.3
519,Qui Nhơn,2013,3,26.8
520,Pleiku,2013,3,23.9
521,Đà Lạt,2013,3,18.8
522,Nha Trang,2013,3,27.1
523,Vũng Tàu,2013,3,28.2
524,Cà Mau,2013,3,28.5
525,Lai Châu,2012,3,18.3
526,Sơn La,2012,3,20.1
527,Tuyên Quang,2012,3,20.5
528,Hà Nội,2012,3,20.2
529,Bãi Cháy,2012,3,19.2
530,Nam Định,2012,3,19.7
531,Vinh,2012,3,20.3
532,Huế,2012,3,22.5
533,Đà Nẵng,2012,3,24.3
534,Qui Nhơn,2012,3,26.2
535,Pleiku,2012,3,22.8
536,Đà Lạt,2012,3,18.0
537,Nha Trang,2012,3,26.5
538,Vũng Tàu,2012,3,28.3
539,Cà Mau,2012,3,28.1
540,Lai Châu,2011,3,20.1
541,Sơn La,2011,3,16.4
542,Tuyên Quang,2011,3,17.0
543,Hà Nội,2011,3,17.1
544,Bãi Cháy,2011,3,16.3
545,Nam Định,2011,3,16.5
546,Vinh,2011,3,16.9
547,Huế,2011,3,18.9
548,Đà Nẵng,2011,3,21.5
549,Qui Nhơn,2011,3,23.8
550,Pleiku,2011,3,21.2
551,Đà Lạt,2011,3,17.4
552,Nha Trang,2011,3,25.0
553,Vũng Tàu,2011,3,27.3
554,Cà Mau,2011,3,27.4
555,Lai Châu,2010,3,23.1
556,Sơn La,2010,3,20.6
557,Tuyên Quang,2010,3,21.0
558,Hà Nội,2010,3,21.9
559,Bãi Cháy,2010,3,20.6
560,Nam Định,2010,3,21.5
561,Vinh,2010,3,22.5
562,Huế,2010,3,23.7
563,Đà Nẵng,2010,3,24.6
564,Qui Nhơn,2010,3,26.2
565,Pleiku,2010,3,23.3
566,Đà Lạt,2010,3,18.3
567,Nha Trang,2010,3,26.6
568,Vũng Tàu,2010,3,28.7
569,Cà Mau,2010,3,28.6
570,Lai Châu,2009,3,23.5
571,Sơn La,2009,3,21.3
572,Tuyên Quang,2009,3,21.0
573,Hà Nội,2009,3,21.0
574,Bãi Cháy,2009,3,20.5
575,Nam Định,2009,3,20.6
576,Vinh,2009,3,22.0
577,Huế,2009,3,24.3
578,Đà Nẵng,2009,3,25.5
579,Qui Nhơn,2009,3,26.7
580,Pleiku,2009,3,23.3
581,Đà Lạt,2009,3,18.3
582,Nha Trang,2009,3,27.0
583,Vũng Tàu,2009,3,28.7
584,Cà Mau,2009,3,28.6
585,Lai Châu,2008,3,21.8
586,Sơn La,2008,3,20.2
587,Tuyên Quang,2008,3,21.3
588,Hà Nội,2008,3,21.4
589,Bãi Cháy,2008,3,20.0
590,Nam Định,2008,3,20.5
591,Vinh,2008,3,20.8
592,Huế,2008,3,21.8
593,Đà Nẵng,2008,3,23.3
594,Qui Nhơn,2008,3,24.9
595,Pleiku,2008,3,21.7
596,Đà Lạt,2008,3,17.6
597,Nha Trang,2008,3,24.9
598,Vũng Tàu,2008,3,26.9
599,Cà Mau,2008,3,27.3
600,Lai Châu,2007,3,22.8
601,Sơn La,2007,3,21.9
602,Tuyên Quang,2007,3,21.5
603,Hà Nội,2007,3,21.1
604,Bãi Cháy,2007,3,20.5
605,Nam Định,2007,3,20.9
606,Vinh,2007,3,22.5
607,Huế,2007,3,24.7
608,Đà Nẵng,2007,3,25.4
609,Qui Nhơn,2007,3,26.4
610,Pleiku,2007,3,23.3
611,Đà Lạt,2007,3,18.0
612,Nha Trang,2007,3,26.2
613,Vũng Tàu,2007,3,28.0
614,Cà Mau,2007,3,27.9
615,Lai Châu,2006,3,22.8
616,Sơn La,2006,3,20.4
617,Tuyên Quang,2006,3,20.3
618,Hà Nội,2006,3,20.3
619,Bãi Cháy,2006,3,19.0
620,Nam Định,2006,3,19.7
621,Vinh,2006,3,20.5
622,Huế,2006,3,22.7
623,Đà Nẵng,2006,3,24.0
624,Qui Nhơn,2006,3,25.4
625,Pleiku,2006,3,22.9
626,Đà Lạt,2006,3,18.3
627,Nha Trang,2006,3,26.1
628,Vũng Tàu,2006,3,27.7
629,Cà Mau,2006,3,27.9
630,Lai Châu,2019,4,23.5
631,Sơn La,2019,4,26.0
632,Tuyên Quang,2019,4,27.0
633,Hà Nội,2019,4,27.5
634,Bãi Cháy,2019,4,26.2
635,Nam Định,2019,4,26.7
636,Vinh,2019,4,28.2
637,Huế,2019,4,28.7
638,Đà Nẵng,2019,4,28.0
639,Qui Nhơn,2019,4,28.8
640,Pleiku,2019,4,25.6
641,Đà Lạt,2019,4,19.8
642,Nha Trang,2019,4,29.2
643,Vũng Tàu,2019,4,30.0
644,Cà Mau,2019,4,29.9
645,Lai Châu,2018,4,20.9
646,Sơn La,2018,4,22.7
647,Tuyên Quang,2018,4,24.2
648,Hà Nội,2018,4,24.4
649,Bãi Cháy,2018,4,23.3
650,Nam Định,2018,4,23.7
651,Vinh,2018,4,23.9
652,Huế,2018,4,24.7
653,Đà Nẵng,2018,4,25.9
654,Qui Nhơn,2018,4,27.4
655,Pleiku,2018,4,24.1
656,Đà Lạt,2018,4,19.1
657,Nha Trang,2018,4,27.6
658,Vũng Tàu,2018,4,28.7
659,Cà Mau,2018,4,29.1
660,Lai Châu,2017,4,20.4
661,Sơn La,2017,4,23.0
662,Tuyên Quang,2017,4,24.5
663,Hà Nội,2017,4,25.1
664,Bãi Cháy,2017,4,23.9
665,Nam Định,2017,4,24.4
666,Vinh,2017,4,25.3
667,Huế,2017,4,25.8
668,Đà Nẵng,2017,4,26.9
669,Qui Nhơn,2017,4,27.3
670,Pleiku,2017,4,24.5
671,Đà Lạt,2017,4,19.0
672,Nha Trang,2017,4,27.5
673,Vũng Tàu,2017,4,29.2
674,Cà Mau,2017,4,29.3
675,Lai Châu,2016,4,23.3
676,Sơn La,2016,4,25.2
677,Tuyên Quang,2016,4,25.7
678,Hà Nội,2016,4,25.6
679,Bãi Cháy,2016,4,24.6
680,Nam Định,2016,4,24.9
681,Vinh,2016,4,25.3
682,Huế,2016,4,27.3
683,Đà Nẵng,2016,4,27.1
684,Qui Nhơn,2016,4,26.8
685,Pleiku,2016,4,26.6
686,Đà Lạt,2016,4,20.2
687,Nha Trang,2016,4,27.9
688,Vũng Tàu,2016,4,29.6
689,Cà Mau,2016,4,30.1
690,Lai Châu,2015,4,22.0
691,Sơn La,2015,4,23.5
692,Tuyên Quang,2015,4,25.0
693,Hà Nội,2015,4,25.4
694,Bãi Cháy,2015,4,24.0
695,Nam Định,2015,4,24.5
696,Vinh,2015,4,24.7
697,Huế,2015,4,25.8
698,Đà Nẵng,2015,4,26.2
699,Qui Nhơn,2015,4,27.1
700,Pleiku,2015,4,24.8
701,Đà Lạt,2015,4,18.9
702,Nha Trang,2015,4,27.5
703,Vũng Tàu,2015,4,29.0
704,Cà Mau,2015,4,29.4
705,Lai Châu,2014,4,23.4
706,Sơn La,2014,4,25.3
707,Tuyên Quang,2014,4,25.4
708,Hà Nội,2014,4,25.3
709,Bãi Cháy,2014,4,24.6
710,Nam Định,2014,4,25.0
711,Vinh,2014,4,25.6
712,Huế,2014,4,27.2
713,Đà Nẵng,2014,4,27.0
714,Qui Nhơn,2014,4,28.0
715,Pleiku,2014,4,24.1
716,Đà Lạt,2014,4,18.7
717,Nha Trang,2014,4,28.2
718,Vũng Tàu,2014,4,29.6
719,Cà Mau,2014,4,29.5
720,Lai Châu,2013,4,20.9
721,Sơn La,2013,4,23.1
722,Tuyên Quang,2013,4,24.9
723,Hà Nội,2013,4,25.0
724,Bãi Cháy,2013,4,23.8
725,Nam Định,2013,4,24.4
726,Vinh,2013,4,25.0
727,Huế,2013,4,26.2
728,Đà Nẵng,2013,4,27.0
729,Qui Nhơn,2013,4,28.3
730,Pleiku,2013,4,24.7
731,Đà Lạt,2013,4,19.8
732,Nha Trang,2013,4,28.8
733,Vũng Tàu,2013,4,29.7
734,Cà Mau,2013,4,29.3
735,Lai Châu,2012,4,22.6
736,Sơn La,2012,4,24.3
737,Tuyên Quang,2012,4,26.3
738,Hà Nội,2012,4,26.2
739,Bãi Cháy,2012,4,24.7
740,Nam Định,2012,4,25.4
741,Vinh,2012,4,26.2
742,Huế,2012,4,26.2
743,Đà Nẵng,2012,4,27.0
744,Qui Nhơn,2012,4,27.9
745,Pleiku,2012,4,23.9
746,Đà Lạt,2012,4,19.3
747,Nha Trang,2012,4,27.7
748,Vũng Tàu,2012,4,28.7
749,Cà Mau,2012,4,29.0
750,Lai Châu,2011,4,24.8
751,Sơn La,2011,4,22.1
752,Tuyên Quang,2011,4,23.4
753,Hà Nội,2011,4,23.8
754,Bãi Cháy,2011,4,22.5
755,Nam Định,2011,4,23.1
756,Vinh,2011,4,23.0
757,Huế,2011,4,23.9
758,Đà Nẵng,2011,4,24.9
759,Qui Nhơn,2011,4,26.3
760,Pleiku,2011,4,23.1
761,Đà Lạt,2011,4,18.6
762,Nha Trang,2011,4,26.5
763,Vũng Tàu,2011,4,27.7
764,Cà Mau,2011,4,28.0
765,Lai Châu,2010,4,25.7
766,Sơn La,2010,4,23.6
